NLOC,CCN,Token Count,Parameter Count,Length,Function Name,File Path,Function Signature,Start Line,End Line
4,2,10,0,6,"LPUART0_IRQHandler@252-257@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","LPUART0_IRQHandler","LPUART0_IRQHandler()",252,257
4,2,10,0,6,"LPUART1_IRQHandler@265-270@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","LPUART1_IRQHandler","LPUART1_IRQHandler()",265,270
4,2,10,0,6,"SPI0_IRQHandler@278-283@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","SPI0_IRQHandler","SPI0_IRQHandler()",278,283
4,2,10,0,6,"SPI1_IRQHandler@291-296@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","SPI1_IRQHandler","SPI1_IRQHandler()",291,296
4,2,10,0,6,"I2C0_IRQHandler@304-309@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","I2C0_IRQHandler","I2C0_IRQHandler()",304,309
4,2,10,0,6,"I2C1_IRQHandler@317-322@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","I2C1_IRQHandler","I2C1_IRQHandler()",317,322
4,2,10,0,6,"TIM0_IRQHandler@330-335@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","TIM0_IRQHandler","TIM0_IRQHandler()",330,335
4,2,10,0,6,"TIM1_IRQHandler@343-348@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","TIM1_IRQHandler","TIM1_IRQHandler()",343,348
4,2,10,0,6,"TIM2_IRQHandler@356-361@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","TIM2_IRQHandler","TIM2_IRQHandler()",356,361
5,3,14,0,10,"LPTIM0_1_IRQHandler@369-378@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","LPTIM0_1_IRQHandler","LPTIM0_1_IRQHandler()",369,378
4,2,10,0,6,"TIM4_IRQHandler@386-391@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","TIM4_IRQHandler","TIM4_IRQHandler()",386,391
4,2,10,0,6,"TIM5_IRQHandler@399-404@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","TIM5_IRQHandler","TIM5_IRQHandler()",399,404
4,2,10,0,6,"TIM6_IRQHandler@412-417@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","TIM6_IRQHandler","TIM6_IRQHandler()",412,417
4,2,10,0,6,"PCA_IRQHandler@425-430@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","PCA_IRQHandler","PCA_IRQHandler()",425,430
4,2,10,0,6,"WDT_IRQHandler@438-443@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","WDT_IRQHandler","WDT_IRQHandler()",438,443
4,2,10,0,6,"RTC_IRQHandler@451-456@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","RTC_IRQHandler","RTC_IRQHandler()",451,456
5,3,14,0,10,"ADC_DAC_IRQHandler@464-473@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","ADC_DAC_IRQHandler","ADC_DAC_IRQHandler()",464,473
4,2,10,0,6,"PCNT_IRQHandler@481-486@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","PCNT_IRQHandler","PCNT_IRQHandler()",481,486
4,2,10,0,6,"VC0_IRQHandler@494-499@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","VC0_IRQHandler","VC0_IRQHandler()",494,499
5,3,14,0,10,"VC1_2_IRQHandler@507-516@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","VC1_2_IRQHandler","VC1_2_IRQHandler()",507,516
4,2,10,0,6,"LVD_IRQHandler@524-529@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","LVD_IRQHandler","LVD_IRQHandler()",524,529
4,2,10,0,6,"LCD_IRQHandler@537-542@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","LCD_IRQHandler","LCD_IRQHandler()",537,542
5,3,14,0,10,"FLASH_RAM_IRQHandler@550-559@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","FLASH_RAM_IRQHandler","FLASH_RAM_IRQHandler()",550,559
4,2,10,0,6,"CLKTRIM_IRQHandler@567-572@./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/interrupts_hc32l19x.c","CLKTRIM_IRQHandler","CLKTRIM_IRQHandler()",567,572
7,1,32,0,8,"SystemCoreClockUpdate@36-43@./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","SystemCoreClockUpdate","SystemCoreClockUpdate()",36,43
57,6,333,0,83,"_InitHidePin@52-134@./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","_InitHidePin","_InitHidePin()",52,134
7,1,54,0,7,"SystemInit@144-150@./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","SystemInit","SystemInit()",144,150
6,1,21,0,6,"main@156-161@./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","main","main()",156,161
6,1,21,0,6,"main@165-170@./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","main","main()",165,170
7,1,21,0,8,"__low_level_init@175-182@./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","./examples/HC32L19x_Template_Rev1.1.0/common/system_hc32l19x.c","__low_level_init","__low_level_init()",175,182
11,2,26,1,11,"Adc_GetIrqStatus@62-72@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_GetIrqStatus","Adc_GetIrqStatus( en_adc_irq_type_t enAdcIrq)",62,72
4,1,16,1,4,"Adc_ClrIrqStatus@82-85@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_ClrIrqStatus","Adc_ClrIrqStatus( en_adc_irq_type_t enAdcIrq)",82,85
4,1,14,0,4,"Adc_EnableIrq@95-98@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_EnableIrq","Adc_EnableIrq()",95,98
4,1,14,0,4,"Adc_DisableIrq@108-111@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_DisableIrq","Adc_DisableIrq()",108,111
17,2,92,1,21,"Adc_Init@122-142@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_Init","Adc_Init( stc_adc_cfg_t * pstcAdcCfg)",122,142
11,2,39,2,12,"Adc_SglExtTrigCfg@153-164@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SglExtTrigCfg","Adc_SglExtTrigCfg( en_adc_trig_sel_t enAdcTrigSel , boolean_t bValue)",153,164
11,2,39,2,12,"Adc_SqrExtTrigCfg@175-186@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SqrExtTrigCfg","Adc_SqrExtTrigCfg( en_adc_trig_sel_t enAdcTrigSel , boolean_t bValue)",175,186
11,2,39,2,12,"Adc_JqrExtTrigCfg@197-208@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_JqrExtTrigCfg","Adc_JqrExtTrigCfg( en_adc_trig_sel_t enAdcTrigSel , boolean_t bValue)",197,208
4,1,12,0,4,"Adc_SGL_Start@220-223@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SGL_Start","Adc_SGL_Start()",220,223
4,1,12,0,4,"Adc_SGL_Stop@233-236@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SGL_Stop","Adc_SGL_Stop()",233,236
4,1,12,0,4,"Adc_SGL_Always_Start@247-250@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SGL_Always_Start","Adc_SGL_Always_Start()",247,250
4,1,12,0,4,"Adc_SGL_Always_Stop@261-264@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SGL_Always_Stop","Adc_SGL_Always_Stop()",261,264
4,1,12,0,4,"Adc_SQR_Start@275-278@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SQR_Start","Adc_SQR_Start()",275,278
4,1,12,0,4,"Adc_SQR_Stop@288-291@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SQR_Stop","Adc_SQR_Stop()",288,291
4,1,12,0,4,"Adc_JQR_Start@301-304@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_JQR_Start","Adc_JQR_Start()",301,304
4,1,12,0,4,"Adc_JQR_Stop@314-317@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_JQR_Stop","Adc_JQR_Stop()",314,317
4,1,14,0,4,"Adc_Enable@327-330@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_Enable","Adc_Enable()",327,330
4,1,14,0,4,"Adc_Disable@340-343@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_Disable","Adc_Disable()",340,343
12,3,72,1,15,"Adc_SqrModeCfg@355-369@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_SqrModeCfg","Adc_SqrModeCfg( stc_adc_sqr_cfg_t * pstcAdcSqrCfg)",355,369
10,3,54,1,13,"Adc_JqrModeCfg@381-393@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_JqrModeCfg","Adc_JqrModeCfg( stc_adc_jqr_cfg_t * pstcAdcJqrCfg)",381,393
5,1,18,1,6,"Adc_CfgSglChannel@404-409@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_CfgSglChannel","Adc_CfgSglChannel( en_adc_samp_ch_sel_t enstcAdcSampCh)",404,409
59,17,240,2,62,"Adc_CfgSqrChannel@421-482@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_CfgSqrChannel","Adc_CfgSqrChannel( en_adc_sqr_chmux_t enstcAdcSqrChMux , en_adc_samp_ch_sel_t enstcAdcSampCh)",421,482
23,5,84,2,25,"Adc_CfgJqrChannel@493-517@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_CfgJqrChannel","Adc_CfgJqrChannel( en_adc_jqr_chmux_t enstcAdcJqrChMux , en_adc_samp_ch_sel_t enstcAdcSampCh)",493,517
4,1,11,0,4,"Adc_GetSglResult@526-529@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_GetSglResult","Adc_GetSglResult()",526,529
5,1,27,1,7,"Adc_GetSqrResult@539-545@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_GetSqrResult","Adc_GetSqrResult( en_adc_sqr_chmux_t enstcAdcSqrChMux)",539,545
5,1,27,1,7,"Adc_GetJqrResult@555-561@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_GetJqrResult","Adc_GetJqrResult( en_adc_jqr_chmux_t enstcAdcJqrChMux)",555,561
4,1,11,0,5,"Adc_GetAccResult@570-574@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_GetAccResult","Adc_GetAccResult()",570,574
4,1,14,0,4,"Adc_ClrAccResult@584-587@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_ClrAccResult","Adc_ClrAccResult()",584,587
9,1,64,1,12,"Adc_ThresholdCfg@598-609@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adc.c","Adc_ThresholdCfg","Adc_ThresholdCfg( stc_adc_threshold_cfg_t * pstcAdcThrCfg)",598,609
17,2,57,3,18,"Adt_CfgIrq@85-102@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgIrq","Adt_CfgIrq( M0P_ADTIM_TypeDef * ADTx , en_adt_irq_type_t enAdtIrq , boolean_t bEn)",85,102
10,1,45,2,13,"Adt_GetIrqFlag@115-127@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_GetIrqFlag","Adt_GetIrqFlag( M0P_ADTIM_TypeDef * ADTx , en_adt_irq_type_t enAdtIrq)",115,127
6,1,25,2,6,"Adt_ClearIrqFlag@139-144@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearIrqFlag","Adt_ClearIrqFlag( M0P_ADTIM_TypeDef * ADTx , en_adt_irq_type_t enAdtIrq)",139,144
5,1,17,1,5,"Adt_ClearAllIrqFlag@155-159@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearAllIrqFlag","Adt_ClearAllIrqFlag( M0P_ADTIM_TypeDef * ADTx)",155,159
11,2,47,2,14,"Adt_CfgHwCntUp@171-184@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgHwCntUp","Adt_CfgHwCntUp( M0P_ADTIM_TypeDef * ADTx , en_adt_hw_cnt_t enAdtHwCntUp)",171,184
5,1,17,1,6,"Adt_ClearHwCntUp@195-200@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearHwCntUp","Adt_ClearHwCntUp( M0P_ADTIM_TypeDef * ADTx)",195,200
11,2,47,2,14,"Adt_CfgHwCntDwn@213-226@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgHwCntDwn","Adt_CfgHwCntDwn( M0P_ADTIM_TypeDef * ADTx , en_adt_hw_cnt_t enAdtHwCntDwn)",213,226
5,1,17,1,5,"Adt_ClearHwCntDwn@237-241@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearHwCntDwn","Adt_ClearHwCntDwn( M0P_ADTIM_TypeDef * ADTx)",237,241
11,2,47,2,13,"Adt_CfgHwStart@253-265@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgHwStart","Adt_CfgHwStart( M0P_ADTIM_TypeDef * ADTx , en_adt_hw_trig_t enAdtHwStart)",253,265
5,1,17,1,5,"Adt_ClearHwStart@276-280@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearHwStart","Adt_ClearHwStart( M0P_ADTIM_TypeDef * ADTx)",276,280
7,1,33,1,8,"Adt_EnableHwStart@291-298@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_EnableHwStart","Adt_EnableHwStart( M0P_ADTIM_TypeDef * ADTx)",291,298
7,1,28,1,8,"Adt_DisableHwStart@309-316@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_DisableHwStart","Adt_DisableHwStart( M0P_ADTIM_TypeDef * ADTx)",309,316
11,2,47,2,13,"Adt_CfgHwStop@328-340@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgHwStop","Adt_CfgHwStop( M0P_ADTIM_TypeDef * ADTx , en_adt_hw_trig_t enAdtHwStop)",328,340
5,1,17,1,5,"Adt_ClearHwStop@351-355@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearHwStop","Adt_ClearHwStop( M0P_ADTIM_TypeDef * ADTx)",351,355
7,1,33,1,8,"Adt_EnableHwStop@366-373@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_EnableHwStop","Adt_EnableHwStop( M0P_ADTIM_TypeDef * ADTx)",366,373
7,1,28,1,8,"Adt_DisableHwStop@384-391@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_DisableHwStop","Adt_DisableHwStop( M0P_ADTIM_TypeDef * ADTx)",384,391
11,2,47,2,14,"Adt_CfgHwClear@403-416@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgHwClear","Adt_CfgHwClear( M0P_ADTIM_TypeDef * ADTx , en_adt_hw_trig_t enAdtHwClear)",403,416
5,1,17,1,5,"Adt_ClearHwClear@427-431@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearHwClear","Adt_ClearHwClear( M0P_ADTIM_TypeDef * ADTx)",427,431
7,1,33,1,8,"Adt_EnableHwClear@442-449@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_EnableHwClear","Adt_EnableHwClear( M0P_ADTIM_TypeDef * ADTx)",442,449
7,1,28,1,8,"Adt_DisableHwClear@460-467@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_DisableHwClear","Adt_DisableHwClear( M0P_ADTIM_TypeDef * ADTx)",460,467
12,2,55,2,15,"Adt_CfgHwCaptureA@479-493@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgHwCaptureA","Adt_CfgHwCaptureA( M0P_ADTIM_TypeDef * ADTx , en_adt_hw_trig_t enAdtHwCaptureA)",479,493
5,1,17,1,5,"Adt_ClearHwCaptureA@504-508@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearHwCaptureA","Adt_ClearHwCaptureA( M0P_ADTIM_TypeDef * ADTx)",504,508
12,2,55,2,15,"Adt_CfgHwCaptureB@520-534@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_CfgHwCaptureB","Adt_CfgHwCaptureB( M0P_ADTIM_TypeDef * ADTx , en_adt_hw_trig_t enAdtHwCaptureB)",520,534
5,1,17,1,5,"Adt_ClearHwCaptureB@545-549@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_ClearHwCaptureB","Adt_ClearHwCaptureB( M0P_ADTIM_TypeDef * ADTx)",545,549
22,5,69,1,25,"Adt_SwSyncStart@560-584@./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","./examples/HC32L19x_Template_Rev1.1.0/driver/src/adt.c","Adt_SwSyncStart","Adt_SwSyncStart( stc_adt_sw_sync_t * pstcAdtSwSyncStart)",560,584
